Date,Open
1/1/2003,14.83
2/1/2003,14.29
3/1/2003,14.56
4/1/2003,13.98
5/1/2003,15.17
6/1/2003,15.37
7/1/2003,17.09
8/1/2003,16.03
9/1/2003,18.66
10/1/2003,17.92
11/1/2003,19.44
12/1/2003,19.31
1/1/2004,22
2/1/2004,22.66
3/1/2004,24.44
4/1/2004,23.4
5/1/2004,23.82
6/1/2004,19.78
7/1/2004,19.67
8/1/2004,23.04
9/1/2004,23.33
10/1/2004,25.44
11/1/2004,24.33
12/1/2004,28.56
1/1/2005,29.31
2/1/2005,29.58
3/1/2005,28.5
4/1/2005,29.66
5/1/2005,32
6/1/2005,35.56
7/1/2005,36.66
8/1/2005,37.56
9/1/2005,38.56
10/1/2005,45.42
11/1/2005,40.8
12/1/2005,45
1/1/2006,47.33
2/1/2006,51.66
3/1/2006,57.49
4/1/2006,65.21
5/1/2006,68.16
6/1/2006,55.99
7/1/2006,60.99
8/1/2006,55.89
9/1/2006,63.53
10/1/2006,61.99
11/1/2006,63.66
12/1/2006,61.99
1/1/2007,58.83
2/1/2007,57.69
3/1/2007,57.56
4/1/2007,50.39
5/1/2007,53.89
6/1/2007,54.19
7/1/2007,51.66
8/1/2007,56.83
9/1/2007,56.88
10/1/2007,63.58
11/1/2007,59.39
12/1/2007,63.63
1/1/2008,70.66
2/1/2008,64.08
3/1/2008,66.09
4/1/2008,69.33
5/1/2008,74.03
6/1/2008,73.06
7/1/2008,62.19
8/1/2008,62.35
9/1/2008,62.66
10/1/2008,63.33
11/1/2008,52.55
12/1/2008,57.63
1/1/2009,57.43
2/1/2009,59.36
3/1/2009,60.36
4/1/2009,61.69
5/1/2009,63.36
6/1/2009,61.66
7/1/2009,63.43
8/1/2009,84.32
9/1/2009,77.66
10/1/2009,77.56
11/1/2009,84.11
12/1/2009,85.99
1/1/2010,84.32
2/1/2010,83.33
3/1/2010,78.36
4/1/2010,87.99
5/1/2010,87.08
6/1/2010,95.12
7/1/2010,101.59
8/1/2010,103.02
9/1/2010,109.49
10/1/2010,119.25
11/1/2010,114.99
12/1/2010,114.99
1/1/2011,117.29
2/1/2011,109.09
3/1/2011,113.86
4/1/2011,121.35
5/1/2011,128.65
6/1/2011,129.99
7/1/2011,137.65
8/1/2011,139.99
9/1/2011,137.32
10/1/2011,130.19
11/1/2011,140.99
12/1/2011,135.99
1/1/2012,134.55
2/1/2012,135.55
3/1/2012,138.39
4/1/2012,151.58
5/1/2012,163.68
6/1/2012,152.58
7/1/2012,172.75
8/1/2012,171.95
9/1/2012,179.32
10/1/2012,180.98
11/1/2012,188.01
12/1/2012,198.31
1/1/2013,191.55
2/1/2013,205.15
3/1/2013,196.65
4/1/2013,205.98
5/1/2013,218.34
6/1/2013,227.08
7/1/2013,216.65
8/1/2013,228.98
9/1/2013,206.65
10/1/2013,226.88
11/1/2013,222.08
12/1/2013,213.95
1/1/2014,214.85
2/1/2014,215.08
3/1/2014,218.51
4/1/2014,235.64
5/1/2014,227.38
6/1/2014,227.98
7/1/2014,218.38
8/1/2014,237.31
9/1/2014,238.64
10/1/2014,246.64
11/1/2014,237.91
12/1/2014,241.41
1/1/2015,245.04
2/1/2015,244.64
3/1/2015,238.64
4/1/2015,217.21
5/1/2015,215.58
6/1/2015,216.98
7/1/2015,210.15
8/1/2015,217.31
9/1/2015,214.98
10/1/2015,218.01
11/1/2015,221.98
12/1/2015,230.11
1/1/2016,218.38
2/1/2016,212.41
3/1/2016,203.31
4/1/2016,217.38
5/1/2016,215.48
6/1/2016,235.31
7/1/2016,243.3
8/1/2016,252
9/1/2016,261
10/1/2016,244.2
11/1/2016,242.8
12/1/2016,232.8
1/1/2017,242
2/1/2017,260
3/1/2017,262.4
4/1/2017,282.8
5/1/2017,280.5
6/1/2017,312
7/1/2017,346
8/1/2017,285.3
9/1/2017,282.2
10/1/2017,262.5
11/1/2017,267
12/1/2017,256.95
1/1/2018,263.25
2/1/2018,272
3/1/2018,264.2
4/1/2018,257
5/1/2018,282.1
6/1/2018,271.15
7/1/2018,267
8/1/2018,298.05
9/1/2018,322.95
10/1/2018,300.85
11/1/2018,280
12/1/2018,287.25
1/1/2019,282.2
2/1/2019,280.65
3/1/2019,276.45
4/1/2019,297
5/1/2019,301.1
6/1/2019,281.4
7/1/2019,274.4
8/1/2019,270.45
9/1/2019,244.45
10/1/2019,259.1
11/1/2019,259.35
12/1/2019,246
1/1/2020,238.6
2/1/2020,236.9
3/1/2020,199.5
4/1/2020,171.7
5/1/2020,181.75
6/1/2020,201
7/1/2020,194.65
8/1/2020,194
9/1/2020,191.1
10/1/2020,174.5
11/1/2020,166.8
12/1/2020,195
1/1/2021,209.9
2/1/2021,204
3/1/2021,205.45
4/1/2021,220
5/1/2021,201.2
6/1/2021,218
7/1/2021,202.9
8/1/2021,206.45
9/1/2021,211
10/1/2021,235.2
11/1/2021,224.15
12/1/2021,222
1/1/2022,218.05
2/1/2022,221
3/1/2022,214.4
4/1/2022,250
5/1/2022,258
6/1/2022,270.65
7/1/2022,273.5
8/1/2022,304
9/1/2022,319.5
10/1/2022,332.9
11/1/2022,349.25
12/1/2022,341.7
1/1/2023,330.9
